variables,source_responses,source_items,source_pageviews,source_media,source_checkpoints_pulse,source_checkpoints_eoc,description,notes
EOC,NA,NA,NA,NA,NA,checkpoints_eoc,proportion of correct answers for end of chapter questions for current chapter,
access_count,NA,NA,NA,media_views,NA,NA,"students can ""access"" the video multiple times (e.g., press play); this number tells you how many times video has been accessed so far (e.g., 1 is the first time video was accessed; 2 is second time)",
attempt,responses,NA,NA,NA,NA,NA,"the number of times the question has been attempted, including the current attempt",
book,responses,NA,page_views,media_views,checkpoints_pulse,checkpoints_eoc,the book name,
chapter,responses,items,page_views,media_views,NA,NA,the chapter that the item appears in,
chapter_num,NA,NA,page_views,media_views,NA,NA,the chapter (as a number),
chapter_number,responses,items,NA,media_views,checkpoints_pulse,checkpoints_eoc,the chapter (as a number). Probably redundant information,
class_id,responses,items,page_views,media_views,checkpoints_pulse,checkpoints_eoc,a unique identifier for this particular class,
completes_page,responses,NA,NA,NA,NA,NA,"whether this response completed the page. After completing that item, the student has no more items to complete on that page. Thus, if TRUE occurs for an earlier item, we can infer that the student skipped that item and then went back and did it last.",
construct,NA,NA,NA,NA,checkpoints_pulse,NA,"The psychological construct measured by the pulse-check item. One of cost, expectancy, Intrinstic Value, Utility Value. These items are meant to gauge the student's attitudes about the content being studied.",
dcl_hint,NA,items,NA,NA,NA,NA,the text that appears in the hint box,all missing values
dcl_pre_exercise_code,NA,items,NA,NA,NA,NA,the code run invisibly to set up the module,all missing values
dcl_sample_code,NA,items,NA,NA,NA,NA,the code run invisibly to set up the module,mostly NA
dcl_sct,NA,items,NA,NA,NA,NA,the solution checking code (see the testwhat package for details),mostly NA
dcl_solution,NA,items,NA,NA,NA,NA,the code that appears in the solution tab,
dt_accessed,NA,NA,page_views,NA,NA,NA,A datetime object indicating when the page was accessed (timezone: GMT/UTC),
dt_last_event,NA,NA,NA,media_views,NA,NA,a datetime object indicating when the video was last interacted with (timezone: GMT/UTC),
dt_started,NA,NA,NA,media_views,NA,NA,a datetime object indicating when the video was first started (timezone: GMT/UTC),
dt_submitted,responses,NA,NA,NA,NA,NA,a datetime object indicating when the response was submitted (timezone: GMT/UTC),
engaged,NA,NA,page_views,NA,NA,NA,"The amount of time the user was considered ""engaged"", in milliseconds, in the material. To maintain engagement, the user must do something on the page (click, mouse movement, scroll, etc.) at least every 2 minutes.",
idle_brief,NA,NA,page_views,NA,NA,NA,"The sum of time the user was considered""idle"" for a""brief"" period of time. A user is considered""idle"" if they are on the page but are not""engaged"". The time period is considered""brief"" if it is less than 15 minutes. Note that the""idle"" periods are retroactively tagged such that the period will start at the last known engagement activity. For a concrete example: 1. user clicks something; 2. reads one minute; 3. clicks something; 4. leaves, comes back 10 minutes later; 5. clicks something. This user would be considered engaged for 1 minute, then idle for 10 minutes. The caveat to this approach is that if they user read the screen for 5 minutes, then left and came back, they would still be considered idle for all of them. This is likely a rare scenario, and in any event, one we can't detect anyway.",
