institution_id,class_id,item_id,item_type,chapter,page,dcl_pre_exercise_code,dcl_sample_code,dcl_solution,dcl_sct,dcl_hint,lrn_activity_reference,lrn_question_reference,lrn_question_position,lrn_type,lrn_template_name,chapter_number,section_number,review_flag
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,First_Things_First_Quiz,learnosity,Getting Started (Don't Skip This Part),First Things First! (Don't Skip This Page),NA,NA,NA,NA,NA,NA,1800c247-fec5-45a0-aa40-3eb7ed5eeed7,5,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,First_Things_First_Quiz,learnosity,Getting Started (Don't Skip This Part),First Things First! (Don't Skip This Page),NA,NA,NA,NA,NA,NA,917f3647-c6dd-473c-9e16-2e0fc4d48344,3,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,First_Things_First_Quiz,learnosity,Getting Started (Don't Skip This Part),First Things First! (Don't Skip This Page),NA,NA,NA,NA,NA,NA,b16697ea-eb7e-4b3d-b540-c35bf1bbd5a3,4,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,First_Things_First_Quiz,learnosity,Getting Started (Don't Skip This Part),First Things First! (Don't Skip This Page),NA,NA,NA,NA,NA,NA,dc46c6fb-c7a4-4590-a133-fbf6c4709aad,2,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,First_Things_First_Quiz,learnosity,Getting Started (Don't Skip This Part),First Things First! (Don't Skip This Page),NA,NA,NA,NA,NA,NA,ebe48663-2263-4eb0-acc4-cf71dfb1e3f8,1,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_CollegeOnly_v3,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,2f484a95-6980-48d1-acd7-69e6911bbb8b,5,shorttext,Short text,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_CollegeOnly_v3,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,3b14f6db-8592-4748-82fa-99cdaf6d138d,8,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_CollegeOnly_v3,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,4d7a1e15-7a68-4eb8-ad90-3a608eda0ba2,7,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_CollegeOnly_v3,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,7f04a03a-9f9e-4621-b732-636c292f452a,3,shorttext,Short text,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_CollegeOnly_v3,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,b533cd94-fda0-4125-92fb-61dc1976e064,1,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_CollegeOnly_v3,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,cbe2ff86-570d-4cb0-96dc-50214c93390a,4,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_CollegeOnly_v3,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,d62ca872-9ec2-462a-9dec-e39a1cfb4fcc,2,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_CollegeOnly_v3,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,eb6fe3cf-0715-4b19-be06-12aeb54a2e5a,6,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_Conf_Conc,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,3b248561-1ced-41b0-b00d-612f35db0ae4,1,choicematrix,Choice matrix – standard,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_Conf_Conc,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,7c927954-ea5a-4902-aed2-f608938278ea,2,choicematrix,Choice matrix – standard,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_Conf_Conc,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,a0874cf1-777a-492f-8914-bea759c935eb,3,plaintext,Essay with plain text,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_EVC,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,7688704b-53af-4779-9018-3242534d541d,1,choicematrix,Choice matrix – standard,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_Int_Bel_GO_Att,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,4709dd7b-fec1-4c77-b2bf-ebea0b8ac3b5,1,choicematrix,Choice matrix – standard,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_Mindset_v2,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,ffbe1244-f12d-48e1-ab6d-ec5a92c2ccca,1,choicematrix,Choice matrix – standard,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_R,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,892b0c40-064a-4083-b5b1-b392ba560903,1,choicematrix,Choice matrix – standard,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_R,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,f1aff1e0-1da2-4fb9-90d6-69276f068330,2,choicematrix,Choice matrix – standard,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_StudBack1_v2,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,02250704-c3dc-4fbe-9090-8d6908c01818,5,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_StudBack1_v2,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,2d31ffac-d03d-42f9-9bcb-c17401e7f5fe,1,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_StudBack1_v2,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,494bd408-3576-4d03-9f75-73a917715312,4,plaintext,Essay with plain text,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_StudBack1_v2,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,68decb3d-b22a-45de-a0fe-b0ff05cec14f,2,plaintext,Essay with plain text,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_StudBack1_v2,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,83ffcc36-7ac6-4cd5-8298-182a5d1ba930,6,shorttext,Short text,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_StudBack1_v2,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,a854c877-ef97-4ae2-a932-be82fc0eae87,3,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_StudBack2_v2,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,315254cf-8d5c-4362-a4f3-54afd351305f,3,shorttext,Short text,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_StudBack2_v2,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,3696e13e-edcd-458a-8d00-6a014665b69a,4,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_StudBack2_v2,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,697c31b7-98f9-413d-b0b3-f442d1ca2280,1,shorttext,Short text,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pre_StudBack2_v2,learnosity-activity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,Pre_Survey_1222,ce303121-9521-4025-82c0-9d93461e6f29,2,mcq,Multiple choice – block layout,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Mid2xcd_Mindset_v2,learnosity,Getting Started (Don't Skip This Part),Student Survey (REQUIRED),NA,NA,NA,NA,NA,NA,1568aa1a-2b87-4918-aba2-c883d281b165,1,choicematrix,Choice matrix – standard,NA,NA,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,ch1-1,code,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.3 Doing Statistics with R,NA,"print(""Hello world!"")
","print(""Hello world!"")
","ex() %>% check_function(""print"") %>% check_arg(""x"") %>% check_equal()",NA,NA,NA,NA,NA,NA,1,3,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Embedded_0719_Ch1_Summary,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.6 Goals of This Course,NA,NA,NA,NA,NA,NA,082d0354-ea44-488b-bb49-de3539ded4ba,1,plaintext,Essay with plain text,1,6,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_01,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,8fa34b88-db7b-44be-9663-59bb0cf321f7,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_02,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,47ae128f-8736-4e25-b062-7ef935cf34d6,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_04,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,45a28b70-2bc5-4f70-9556-3f248a9cf082,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_05,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,d50d1412-8b51-4a9a-b542-e0b8bcc57754,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_06,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,7fefdfa4-1aec-496c-a31b-817e0406ee46,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_07,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,1b2d8a49-568f-4e57-a21b-5c6db60eccd0,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_08,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,73fe943e-0f99-47b4-89d4-d11a63f2b686,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_09,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,5305a381-c75e-4b5a-ac56-ce811759be12,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_10,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,4edd72f7-f85d-49c8-8c6d-deab70bde676,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_11,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,0f1632e7-8b7c-4ce4-baa9-5815f4c0f975,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_12,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,a2a92c32-e086-49f1-91e3-4afed17eb692,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_13,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,ff15df7f-c607-4bf0-ad29-79675eb3adea,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,A1_Review1_14,learnosity,Chapter 1 - Welcome to Statistics: A Modeling Approach,1.7 Chapter 1 Review Questions,NA,NA,NA,NA,NA,NA,a1ce5552-a09b-4248-b105-542290929c5e,1,mcq,Multiple choice – block layout,1,7,TRUE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Pulse_a2,learnosity,Chapter 2 - Understanding Data,2.1 Starting with a Bunch of Numbers,NA,NA,NA,NA,NA,NA,bdd1f737-26e7-4d6a-89f0-2ce2b1ddc145,1,choicematrix,Choice matrix – standard,2,1,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Ch2_Starting_1,learnosity,Chapter 2 - Understanding Data,2.1 Starting with a Bunch of Numbers,NA,NA,NA,NA,NA,NA,2f8607b7-2019-4807-a52a-b8d8f4915cde,2,mcq,Multiple choice – block layout,2,1,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Ch2_Starting_1,learnosity,Chapter 2 - Understanding Data,2.1 Starting with a Bunch of Numbers,NA,NA,NA,NA,NA,NA,6d84f215-d15d-427f-b7ed-c18046337b37,1,mcq,Multiple choice – block layout,2,1,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Ch2_Starting_1,learnosity,Chapter 2 - Understanding Data,2.1 Starting with a Bunch of Numbers,NA,NA,NA,NA,NA,NA,908fb65e-f07e-4fec-9d00-fbc3a6e9b4e3,3,plaintext,Essay with plain text,2,1,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Ch2_FromNumbers_11,learnosity,Chapter 2 - Understanding Data,2.2 From Numbers to Data,NA,NA,NA,NA,NA,NA,5b9cc83a-d164-49d0-b194-7966fd7ad868,1,plaintext,Essay with plain text,2,2,FALSE
292cff87-3c74-4e94-8622-233afb0427dd,074123e7-cd90-4500-86fe-286aaa733bf5,Ch2_FromNumbers_12,learnosity,Chapter 2 - Understanding Data,2.2 From Numbers to Data,NA,NA,NA,NA,NA,NA,f5162c94-c0cd-4b75-9787-a30de0b6c1af,1,plaintext,Essay with plain text,2,2,FALSE
